cert_city_cd,cert_city_nm,city_tag,map_city_id
4102,开封,开封,4102
4103,洛阳,洛阳,4103
4104,平顶山,平顶山,4104
4105,安阳,安阳,4105
4106,鹤壁,鹤壁,4106
4107,新乡,新乡,4107
4108,焦作,焦作,4108
4109,濮阳,濮阳,4109
4110,许昌,许昌,4110
4111,漯河,漯河,4111
4112,三门峡,三门峡,4112
4113,南阳,南阳,4113
4114,商丘,商丘,4114
4115,信阳,信阳,4115
4116,周口,周口,4127
4117,驻马店,驻马店,4128
4123,商丘,商丘,4114
4127,周口,周口,4127
4128,驻马店,驻马店,4128
4129,南阳,南阳,4113
4130,信阳,信阳,4115
4201,武汉,武汉,4201
4202,黄石,黄石,4202
4203,十堰,十堰,4203
4204,荆州,沙市,4210
4205,宜昌,宜昌,4205
4206,襄樊,襄樊,4206
4207,鄂州,鄂州,4207
4208,荆门,荆门,4208
4209,孝感,孝感,4209
4210,荆州,荆州,4210
4211,黄冈,黄冈,4211
4212,咸宁,咸宁,4212
4213,随州,随州,4290
4221,黄冈,黄冈,4211
4222,孝感,孝感,4209
4223,咸宁,咸宁,4212
4224,荆州,荆州,4210
4226,十堰,十堰,4203
4227,宜昌,十堰,4205
4228,施土,施土,4228
4290,随州,随州,4290
4301,长沙,长沙,4301
4302,株洲,株洲,4302
4303,湘潭,湘潭,4303
4304,衡阳,衡阳,4304
4305,邵阳,邵阳,4305
4306,岳阳,岳阳,4306
4307,常德,常德,4307
4308,张家界,张家界,4308
4309,益阳,益阳,4309
4310,郴州,郴州,4310
4311,永州,永州,4311
4312,怀化,怀化,4312
4313,娄底,娄底,4325
4323,益阳,益阳,4309
4324,常德,常德,4307
4325,娄底,娄底,4325
4326,邵阳,邵阳,4305
4328,郴州,郴州,4310
4329,永州,永州,4311
4330,怀化辖县,怀化,4330
4331,湘西,湘西,4331
4390,岳阳,岳阳,4306
4401,广州,广州,4401
4402,韶关,韶关,4402
4403,深圳,深圳,4403
4404,珠海,珠海,4404
4405,汕头,汕头,4405
4406,佛山,佛山,4406
4407,江门,江门,4407
4408,湛江,湛江,4408
4409,茂名,茂名,4409
4412,肇庆,肇庆,4412
